"X...1"	"X...3"	"X...5"	"X...7"	"X...9"	"X...11"	"X...13"	"X...15"	"X...17"	"X...19"	"X...21"	"X...23"	"X...25"	"X...27"	"X...29"	"X...31"	"X...33"	"X...35"	"X...37"	"X...39"	"X...41"	"X...43"	"X...45"	"X...47"	"X...49"	"X...51"	"X...53"	"X...55"	"X...57"	"X...59"	"X...61"	"X...63"	"X...65"	"X...67"	"X...69"	"X...71"	"X...73"	"X...75"	"X...77"	"X...79"	"X...81"	"X...83"	"X...85"	"X...87"	"X...89"	"X...91"	"X...93"	"X...95"	"X...97"	"X...99"	"X...101"	"X...103"	"X...105"	"X...107"	"X...109"	"X...111"	"X...113"	"X...115"	"X...117"	"X...119"	"X...121"	"X...123"	"X...125"	"X...127"	"X...129"	"X...131"	"X...133"	"X...135"	"X...137"	"X...139"	"X...141"	"X...143"	"X...145"	"X...147"	"X...149"	"X...151"	"X...153"	"X...155"
1.484381	1.859383	0.6875371	0.9844045	1.484363	2.031275	1.109376	1.875003	1.07813	1.796879	2.171914	0.9844178	1.718742	1.484381	1.859383	0.6875371	0.9844045	1.484363	2.031275	1.109376	1.875003	1.07813	1.796879	2.171914	0.9844178	1.718742	1.484381	1.859383	0.6875371	0.9844045	1.484363	2.031275	1.109376	1.875003	1.07813	1.796879	2.171914	0.9844178	1.718742	1.484381	1.859383	0.6875371	0.9844045	1.484363	2.031275	1.109376	1.875003	1.07813	1.796879	2.171914	0.9844178	1.718742	1.484381	1.859383	0.6875371	0.9844045	1.484363	2.031275	1.109376	1.875003	1.07813	1.796879	2.171914	0.9844178	1.718742	1.484381	1.859383	0.6875371	0.9844045	1.484363	2.031275	1.109376	1.875003	1.07813	1.796879	2.171914	0.9844178	1.718742
3.671842	4.078134	2.906297	3.234411	3.812508	4.249995	3.343745	4.078127	3.296879	4.000006	4.406281	3.203151	3.921865	3.671842	4.078134	2.906297	3.234411	3.812508	4.249995	3.343745	4.078127	3.296879	4.000006	4.406281	3.203151	3.921865	3.671842	4.078134	2.906297	3.234411	3.812508	4.249995	3.343745	4.078127	3.296879	4.000006	4.406281	3.203151	3.921865	3.671842	4.078134	2.906297	3.234411	3.812508	4.249995	3.343745	4.078127	3.296879	4.000006	4.406281	3.203151	3.921865	3.671842	4.078134	2.906297	3.234411	3.812508	4.249995	3.343745	4.078127	3.296879	4.000006	4.406281	3.203151	3.921865	3.671842	4.078134	2.906297	3.234411	3.812508	4.249995	3.343745	4.078127	3.296879	4.000006	4.406281	3.203151	3.921865
6.015617	6.28126	5.12502	5.468784	6.296867	6.45315	5.562502	6.296878	5.546881	6.203091	6.609371	5.421899	6.265617	6.015617	6.28126	5.12502	5.468784	6.296867	6.45315	5.562502	6.296878	5.546881	6.203091	6.609371	5.421899	6.265617	6.015617	6.28126	5.12502	5.468784	6.296867	6.45315	5.562502	6.296878	5.546881	6.203091	6.609371	5.421899	6.265617	6.015617	6.28126	5.12502	5.468784	6.296867	6.45315	5.562502	6.296878	5.546881	6.203091	6.609371	5.421899	6.265617	6.015617	6.28126	5.12502	5.468784	6.296867	6.45315	5.562502	6.296878	5.546881	6.203091	6.609371	5.421899	6.265617	6.015617	6.28126	5.12502	5.468784	6.296867	6.45315	5.562502	6.296878	5.546881	6.203091	6.609371	5.421899	6.265617
8.48437	8.515589	7.312519	7.671866	8.546862	8.671946	7.781245	8.499995	7.781255	8.421871	8.843777	7.609397	8.734369	8.48437	8.515589	7.312519	7.671866	8.546862	8.671946	7.781245	8.499995	7.781255	8.421871	8.843777	7.609397	8.734369	8.48437	8.515589	7.312519	7.671866	8.546862	8.671946	7.781245	8.499995	7.781255	8.421871	8.843777	7.609397	8.734369	8.48437	8.515589	7.312519	7.671866	8.546862	8.671946	7.781245	8.499995	7.781255	8.421871	8.843777	7.609397	8.734369	8.48437	8.515589	7.312519	7.671866	8.546862	8.671946	7.781245	8.499995	7.781255	8.421871	8.843777	7.609397	8.734369	8.48437	8.515589	7.312519	7.671866	8.546862	8.671946	7.781245	8.499995	7.781255	8.421871	8.843777	7.609397	8.734369
10.71875	10.73436	9.531265	9.890656	11.10937	10.87504	9.984365	10.74999	9.999985	10.65625	11.07814	9.828156	10.99999	10.71875	10.73436	9.531265	9.890656	11.10937	10.87504	9.984365	10.74999	9.999985	10.65625	11.07814	9.828156	10.99999	10.71875	10.73436	9.531265	9.890656	11.10937	10.87504	9.984365	10.74999	9.999985	10.65625	11.07814	9.828156	10.99999	10.71875	10.73436	9.531265	9.890656	11.10937	10.87504	9.984365	10.74999	9.999985	10.65625	11.07814	9.828156	10.99999	10.71875	10.73436	9.531265	9.890656	11.10937	10.87504	9.984365	10.74999	9.999985	10.65625	11.07814	9.828156	10.99999	10.71875	10.73436	9.531265	9.890656	11.10937	10.87504	9.984365	10.74999	9.999985	10.65625	11.07814	9.828156	10.99999
12.93745	12.92187	11.7344	12.07815	13.3906	13.07815	12.21875	12.95312	12.21873	12.87499	13.28127	12.03127	13.20312	12.93745	12.92187	11.7344	12.07815	13.3906	13.07815	12.21875	12.95312	12.21873	12.87499	13.28127	12.03127	13.20312	12.93745	12.92187	11.7344	12.07815	13.3906	13.07815	12.21875	12.95312	12.21873	12.87499	13.28127	12.03127	13.20312	12.93745	12.92187	11.7344	12.07815	13.3906	13.07815	12.21875	12.95312	12.21873	12.87499	13.28127	12.03127	13.20312	12.93745	12.92187	11.7344	12.07815	13.3906	13.07815	12.21875	12.95312	12.21873	12.87499	13.28127	12.03127	13.20312	12.93745	12.92187	11.7344	12.07815	13.3906	13.07815	12.21875	12.95312	12.21873	12.87499	13.28127	12.03127	13.20312
15.14061	15.14062	13.96876	14.26565	15.76561	15.28127	14.43748	15.15624	14.42186	15.09374	15.50002	14.39064	15.40624	15.14061	15.14062	13.96876	14.26565	15.76561	15.28127	14.43748	15.15624	14.42186	15.09374	15.50002	14.39064	15.40624	15.14061	15.14062	13.96876	14.26565	15.76561	15.28127	14.43748	15.15624	14.42186	15.09374	15.50002	14.39064	15.40624	15.14061	15.14062	13.96876	14.26565	15.76561	15.28127	14.43748	15.15624	14.42186	15.09374	15.50002	14.39064	15.40624	15.14061	15.14062	13.96876	14.26565	15.76561	15.28127	14.43748	15.15624	14.42186	15.09374	15.50002	14.39064	15.40624	15.14061	15.14062	13.96876	14.26565	15.76561	15.28127	14.43748	15.15624	14.42186	15.09374	15.50002	14.39064	15.40624
17.37499	17.34377	16.17189	16.48438	18.06248	17.5	16.65623	17.375	16.64061	17.31249	17.70314	16.7344	17.625	17.37499	17.34377	16.17189	16.48438	18.06248	17.5	16.65623	17.375	16.64061	17.31249	17.70314	16.7344	17.625	17.37499	17.34377	16.17189	16.48438	18.06248	17.5	16.65623	17.375	16.64061	17.31249	17.70314	16.7344	17.625	17.37499	17.34377	16.17189	16.48438	18.06248	17.5	16.65623	17.375	16.64061	17.31249	17.70314	16.7344	17.625	17.37499	17.34377	16.17189	16.48438	18.06248	17.5	16.65623	17.375	16.64061	17.31249	17.70314	16.7344	17.625	17.37499	17.34377	16.17189	16.48438	18.06248	17.5	16.65623	17.375	16.64061	17.31249	17.70314	16.7344	17.625
19.60936	19.56249	18.37501	18.69308	20.24997	19.68748	18.87498	19.60936	18.85936	19.54686	19.92189	18.96877	19.82811	19.60936	19.56249	18.37501	18.69308	20.24997	19.68748	18.87498	19.60936	18.85936	19.54686	19.92189	18.96877	19.82811	19.60936	19.56249	18.37501	18.69308	20.24997	19.68748	18.87498	19.60936	18.85936	19.54686	19.92189	18.96877	19.82811	19.60936	19.56249	18.37501	18.69308	20.24997	19.68748	18.87498	19.60936	18.85936	19.54686	19.92189	18.96877	19.82811	19.60936	19.56249	18.37501	18.69308	20.24997	19.68748	18.87498	19.60936	18.85936	19.54686	19.92189	18.96877	19.82811	19.60936	19.56249	18.37501	18.69308	20.24997	19.68748	18.87498	19.60936	18.85936	19.54686	19.92189	18.96877	19.82811
21.81247	21.76557	20.59377	20.91183	22.46872	21.92189	21.09373	21.82811	21.07811	21.76557	22.12501	21.1875	22.04685	21.81247	21.76557	20.59377	20.91183	22.46872	21.92189	21.09373	21.82811	21.07811	21.76557	22.12501	21.1875	22.04685	21.81247	21.76557	20.59377	20.91183	22.46872	21.92189	21.09373	21.82811	21.07811	21.76557	22.12501	21.1875	22.04685	21.81247	21.76557	20.59377	20.91183	22.46872	21.92189	21.09373	21.82811	21.07811	21.76557	22.12501	21.1875	22.04685	21.81247	21.76557	20.59377	20.91183	22.46872	21.92189	21.09373	21.82811	21.07811	21.76557	22.12501	21.1875	22.04685	21.81247	21.76557	20.59377	20.91183	22.46872	21.92189	21.09373	21.82811	21.07811	21.76557	22.12501	21.1875	22.04685
