X...11,X...13,X...15,X...17,X...19,X...31,X...33,X...35,X...37,X...39,X...51,X...53,X...55,X...57,X...59,X...71,X...73,X...75,X...77,X...79,X...91,X...93,X...95,X...97,X...99,X...111,X...113,X...115,X...117,X...119,X...131,X...133,X...135,X...137,X...139,X...151,X...153,X...155,X...157,X...159,X...171,X...173,X...175,X...177,X...179,X...191,X...193,X...195,X...197,X...199,X...211,X...213,X...215,X...217,X...219,X...231,X...233,X...235,X...237,X...239,X...251,X...253,X...255,X...257,X...259,X...271,X...273,X...275,X...277,X...279
1.634621,0.0312554,1.218783,0.4843632,0.8750083,1.634621,0.0312554,1.218783,0.4843632,0.8750083,1.634621,0.0312554,1.218783,0.4843632,0.8750083,1.634621,0.0312554,1.218783,0.4843632,0.8750083,1.634621,0.0312554,1.218783,0.4843632,0.8750083,1.634621,0.0312554,1.218783,0.4843632,0.8750083,1.634621,0.0312554,1.218783,0.4843632,0.8750083,1.634621,0.0312554,1.218783,0.4843632,0.8750083,1.634621,0.0312554,1.218783,0.4843632,0.8750083,1.634621,0.0312554,1.218783,0.4843632,0.8750083,1.634621,0.0312554,1.218783,0.4843632,0.8750083,1.634621,0.0312554,1.218783,0.4843632,0.8750083,1.634621,0.0312554,1.218783,0.4843632,0.8750083,1.634621,0.0312554,1.218783,0.4843632,0.8750083
3.869032,2.265654,3.437487,2.703078,3.109376,3.869032,2.265654,3.437487,2.703078,3.109376,3.869032,2.265654,3.437487,2.703078,3.109376,3.869032,2.265654,3.437487,2.703078,3.109376,3.869032,2.265654,3.437487,2.703078,3.109376,3.869032,2.265654,3.437487,2.703078,3.109376,3.869032,2.265654,3.437487,2.703078,3.109376,3.869032,2.265654,3.437487,2.703078,3.109376,3.869032,2.265654,3.437487,2.703078,3.109376,3.869032,2.265654,3.437487,2.703078,3.109376,3.869032,2.265654,3.437487,2.703078,3.109376,3.869032,2.265654,3.437487,2.703078,3.109376,3.869032,2.265654,3.437487,2.703078,3.109376,3.869032,2.265654,3.437487,2.703078,3.109376
6.056518,4.484396,5.656266,4.921851,5.812481,6.056518,4.484396,5.656266,4.921851,5.812481,6.056518,4.484396,5.656266,4.921851,5.812481,6.056518,4.484396,5.656266,4.921851,5.812481,6.056518,4.484396,5.656266,4.921851,5.812481,6.056518,4.484396,5.656266,4.921851,5.812481,6.056518,4.484396,5.656266,4.921851,5.812481,6.056518,4.484396,5.656266,4.921851,5.812481,6.056518,4.484396,5.656266,4.921851,5.812481,6.056518,4.484396,5.656266,4.921851,5.812481,6.056518,4.484396,5.656266,4.921851,5.812481,6.056518,4.484396,5.656266,4.921851,5.812481,6.056518,4.484396,5.656266,4.921851,5.812481,6.056518,4.484396,5.656266,4.921851,5.812481
8.275265,6.687517,7.875003,7.140606,8.109362,8.275265,6.687517,7.875003,7.140606,8.109362,8.275265,6.687517,7.875003,7.140606,8.109362,8.275265,6.687517,7.875003,7.140606,8.109362,8.275265,6.687517,7.875003,7.140606,8.109362,8.275265,6.687517,7.875003,7.140606,8.109362,8.275265,6.687517,7.875003,7.140606,8.109362,8.275265,6.687517,7.875003,7.140606,8.109362,8.275265,6.687517,7.875003,7.140606,8.109362,8.275265,6.687517,7.875003,7.140606,8.109362,8.275265,6.687517,7.875003,7.140606,8.109362,8.275265,6.687517,7.875003,7.140606,8.109362,8.275265,6.687517,7.875003,7.140606,8.109362,8.275265,6.687517,7.875003,7.140606,8.109362
10.50962,8.906263,10.07813,9.343722,10.64061,10.50962,8.906263,10.07813,9.343722,10.64061,10.50962,8.906263,10.07813,9.343722,10.64061,10.50962,8.906263,10.07813,9.343722,10.64061,10.50962,8.906263,10.07813,9.343722,10.64061,10.50962,8.906263,10.07813,9.343722,10.64061,10.50962,8.906263,10.07813,9.343722,10.64061,10.50962,8.906263,10.07813,9.343722,10.64061,10.50962,8.906263,10.07813,9.343722,10.64061,10.50962,8.906263,10.07813,9.343722,10.64061,10.50962,8.906263,10.07813,9.343722,10.64061,10.50962,8.906263,10.07813,9.343722,10.64061,10.50962,8.906263,10.07813,9.343722,10.64061,10.50962,8.906263,10.07813,9.343722,10.64061
12.72838,11.10938,12.28551,11.56246,12.90622,12.72838,11.10938,12.28551,11.56246,12.90622,12.72838,11.10938,12.28551,11.56246,12.90622,12.72838,11.10938,12.28551,11.56246,12.90622,12.72838,11.10938,12.28551,11.56246,12.90622,12.72838,11.10938,12.28551,11.56246,12.90622,12.72838,11.10938,12.28551,11.56246,12.90622,12.72838,11.10938,12.28551,11.56246,12.90622,12.72838,11.10938,12.28551,11.56246,12.90622,12.72838,11.10938,12.28551,11.56246,12.90622,12.72838,11.10938,12.28551,11.56246,12.90622,12.72838,11.10938,12.28551,11.56246,12.90622,12.72838,11.10938,12.28551,11.56246,12.90622,12.72838,11.10938,12.28551,11.56246,12.90622
14.93149,13.34374,14.51989,13.76558,15.14059,14.93149,13.34374,14.51989,13.76558,15.14059,14.93149,13.34374,14.51989,13.76558,15.14059,14.93149,13.34374,14.51989,13.76558,15.14059,14.93149,13.34374,14.51989,13.76558,15.14059,14.93149,13.34374,14.51989,13.76558,15.14059,14.93149,13.34374,14.51989,13.76558,15.14059,14.93149,13.34374,14.51989,13.76558,15.14059,14.93149,13.34374,14.51989,13.76558,15.14059,14.93149,13.34374,14.51989,13.76558,15.14059,14.93149,13.34374,14.51989,13.76558,15.14059,14.93149,13.34374,14.51989,13.76558,15.14059,14.93149,13.34374,14.51989,13.76558,15.14059,14.93149,13.34374,14.51989,13.76558,15.14059
17.15024,15.57812,16.75424,15.98432,17.35932,17.15024,15.57812,16.75424,15.98432,17.35932,17.15024,15.57812,16.75424,15.98432,17.35932,17.15024,15.57812,16.75424,15.98432,17.35932,17.15024,15.57812,16.75424,15.98432,17.35932,17.15024,15.57812,16.75424,15.98432,17.35932,17.15024,15.57812,16.75424,15.98432,17.35932,17.15024,15.57812,16.75424,15.98432,17.35932,17.15024,15.57812,16.75424,15.98432,17.35932,17.15024,15.57812,16.75424,15.98432,17.35932,17.15024,15.57812,16.75424,15.98432,17.35932,17.15024,15.57812,16.75424,15.98432,17.35932,17.15024,15.57812,16.75424,15.98432,17.35932,17.15024,15.57812,16.75424,15.98432,17.35932
19.38457,17.79686,18.97299,18.18745,19.57807,19.38457,17.79686,18.97299,18.18745,19.57807,19.38457,17.79686,18.97299,18.18745,19.57807,19.38457,17.79686,18.97299,18.18745,19.57807,19.38457,17.79686,18.97299,18.18745,19.57807,19.38457,17.79686,18.97299,18.18745,19.57807,19.38457,17.79686,18.97299,18.18745,19.57807,19.38457,17.79686,18.97299,18.18745,19.57807,19.38457,17.79686,18.97299,18.18745,19.57807,19.38457,17.79686,18.97299,18.18745,19.57807,19.38457,17.79686,18.97299,18.18745,19.57807,19.38457,17.79686,18.97299,18.18745,19.57807,19.38457,17.79686,18.97299,18.18745,19.57807,19.38457,17.79686,18.97299,18.18745,19.57807
21.58773,20.01556,21.19173,20.40619,21.79682,21.58773,20.01556,21.19173,20.40619,21.79682,21.58773,20.01556,21.19173,20.40619,21.79682,21.58773,20.01556,21.19173,20.40619,21.79682,21.58773,20.01556,21.19173,20.40619,21.79682,21.58773,20.01556,21.19173,20.40619,21.79682,21.58773,20.01556,21.19173,20.40619,21.79682,21.58773,20.01556,21.19173,20.40619,21.79682,21.58773,20.01556,21.19173,20.40619,21.79682,21.58773,20.01556,21.19173,20.40619,21.79682,21.58773,20.01556,21.19173,20.40619,21.79682,21.58773,20.01556,21.19173,20.40619,21.79682,21.58773,20.01556,21.19173,20.40619,21.79682,21.58773,20.01556,21.19173,20.40619,21.79682
