Y...12,Y...14,Y...16,Y...18,Y...20,Y...32,Y...34,Y...36,Y...38,Y...40,Y...52,Y...54,Y...56,Y...58,Y...60,Y...72,Y...74,Y...76,Y...78,Y...80,Y...92,Y...94,Y...96,Y...98,Y...100,Y...112,Y...114,Y...116,Y...118,Y...120,Y...132,Y...134,Y...136,Y...138,Y...140,Y...152,Y...154,Y...156,Y...158,Y...160,Y...172,Y...174,Y...176,Y...178,Y...180,Y...192,Y...194,Y...196,Y...198,Y...200,Y...212,Y...214,Y...216,Y...218,Y...220,Y...232,Y...234,Y...236,Y...238,Y...240,Y...252,Y...254,Y...256,Y...258,Y...260,Y...272,Y...274,Y...276,Y...278,Y...280
46.0752,79.31934,125.0771,177.0723,227.791,43.03906,74.77539,120.6758,173.4595,234.7207,47.31787,82.36523,127.9409,182.0889,240.8892,46.72607,79.88379,127.1387,180.3911,236.9292,45.76563,79.27148,120.7769,174.8359,229.9277,38.55859,70.4502,120.7813,171.0693,230.5776,34.98291,63.54492,101.9492,149.8335,199.3013,41.34668,65.20752,98.70801,134.5576,174.6875,29.15967,53.37646,84.31885,120.13720000000001,161.6421,28.77539,54.80322,90.7793,130.3374,172.8022,22.01074,40.39111,67.729,99.00781,138.2773,23.82324,43.71191,71.21289,103.249,138.0654,17.3418,28.49707,43.73389,64.86182,88.25586,16.89209,26.4585,42.021,55.70361,78.73193
43.80444,78.26221,125.615,176.384,230.1033,39.40308,74.0083,120.9617,177.0466,234.4442,44.24097,82.29346,130.5408,184.9431,238.4265,42.1189,78.24219,124.5588,179.8523,237.8523,45.8582,78.64648,122.2224,174.2896,228.0112,38.82422,69.72217,119.6628,173.7186,230.6985,30.74988,63.55713,102.1265,149.6606,198.6553,37.9231,65.80469,98.05176,134.8677,172.635,26.44409,52.19971,84.12573,120.2068,162.0686,26.87781,53.02734,88.34863,130.4958,171.0125,18.8761,39.73877,65.55774,101.2344,135.8331,23.16992,44.01318,70.73108,104.1403,139.2566,14.95349,28.96973,46.7406,65.91284,87.53552,16.18665,26.42969,40.55701,57.99084,76.51843
43.76514,79.05908,124.1116,175.7227,225.5493,39.2887,73.96423,119.952,175.7781,231.4607,45.40723,84.38745,130.0388,187.1145,240.657,41.01733,76.29346,124.6086,178.5186,234.9636,45.94884,76.8269,117.5771,169.6731,225.0615,39.08427,69.151,114.1957,169.2842,225.4967,29.72559,60.01294,98.10693,146.6945,197.8739,37.14526,63.6499,96.37622,133.093,170.0364,28.24194,55.87939,84.38892,120.2764,162.3091,28.91968,52.56311,87.36206,126.704,168.7732,17.46802,37.63525,64.37891,97.46228,133.8098,23.59021,45.29822,71.1554,104.817,136.5725,15.16748,27.93311,44.30994,64.57727,83.83704,13.84619,27.64661,39.06262,58.08765,75.7572
48.14038,79.41968,122.1719,173.8604,227.4294,41.98901,73.15051,118.7555,172.7229,233.2554,48.65576,82.48633,128.8313,185.5408,242.8445,45.186279999999996,79.00781,125.7087,177.4023,236.0076,46.04077,76.04663,116.7021,171.2847,226.7292,39.34803,69.23267,115.5289,169.5202,229.9424,34.34875,62.41809,99.18701,145.8833,197.2099,42.27686,65.01147,98.69531,134.2393,171.7703,32.91553,53.94458,83.6687,120.3459,164.2139,30.5564,53.26746,87.25134,130.1335,169.5187,21.53369,39.09705,62.94702,97.14539,133.6534,25.8938,45.29077,71.02124,103.9391,138.8982,18.125610000000002,28.44751,44.48816,63.58118,84.91541,16.66858,26.27698,37.78101,55.45313,73.47913
45.88574,81.02441,125.2131,175.1472,225.9255,43.7428,74.01331,119.9641,172.6862,232.9082,47.03589,82.39429,131.1396,184.8511,240.1243,43.631100000000004,80.63843,126.0535,179.3267,234.9214,44.62256,77.94263,118.7666,171.7307,226.2388,39.61365,73.99451,117.8512,169.7546,228.4662,34.17542,65.0105,102.4108,149.2626,196.4781,41.99023,67.23535,100.0461,134.1353,170.7124,29.823,54.91357,85.66968,123.9651,161.5532,30.63489,55.4989,90.00452,131.333,171.3235,22.15198,41.18335,65.40479,99.47595,133.4014,24.99768,46.96338,73.95874,104.0488,138.9495,18.80957,31.31213,47.14063,65.76318,86.11011,16.10852,27.378050000000002,40.43335,57.45142,75.7467
43.88281,79.83569,125.416,174.2139,223.5022,39.102290000000004,74.37134,119.0156,172.3199,230.7795,48.64111,82.63354,129.3955,181.6448,239.3289,43.65942,78.6001,124.9541,176.1667,232.426,42.22095,76.23242,117.5149,167.8894,223.8801,35.80115,69.19751,115.6313,169.9907,226.6755,34.61597,61.95691,101.6045,146.6173,194.6263,43.20703,64.82031,100.74,131.8108,167.3853,29.2793,54.77685,81.54199,124.2521,160.0237,30.39746,57.30127,90.49524,130.8777,170.9691,20.8667,39.74646,66.98511,97.63013,132.2327,25.90295,47.29272,75.30432,104.3486,137.2531,17.003050000000002,28.82019,44.79419,62.62854,85.33984,15.45349,25.72571,41.79028,54.90015,74.31458
44.45654,80.43945,126.9346,174.0933,226.7261,39.23401,73.96692,118.62,170.26,233.2698,47.31274,80.21021,131.1416,182.7888,241.6978,46.532470000000004,78.72656,124.6565,179.1453,239.0901,42.53296,73.29663,118.0264,169.6565,227.4631,37.89465,68.49182,116.458,170.2251,228.0487,34.28235,62.23035,104.2601,146.7687,197.5028,41.22803,64.66431,98.90747,129.895,170.5498,29.68701,54.63818,82.0603,124.5371,162.2876,27.69031,55.73218,88.59827,128.6797,171.1499,18.09485,38.70605,66.16089,97.52063,135.0696,24.25903,45.69482,73.25171,103.8518,138.0253,14.53149,26.54797,43.14941,62.9342,87.30566,16.34143,26.22986,39.69653,55.30664,75.98145
47.00073,79.69751,125.9724,177.4087,225.3022,43.61145,74.17603,121.4528,176.2012,232.4102,46.19531,82.25122,132.3003,182.4015,239.127,47.40234,81.7207,124.359,182.105,240.1206,45.25488,74.57666,121.5039,172.8931,223.8564,35.33093,69.82715,118.7433,173.131,225.8285,34.25183,63.79175,105.4663,151.7999,197.4919,44.92725,64.73926,102.2529,130.4456,169.687,33.74756,54.49951,87.60254,124.8241,160.55,30.953,55.54614,91.98315,130.8408,169.9939,20.97168,37.17627,65.75354,98.15527,133.4281,26.73645,46.39185,74.09253,105.0974,138.1615,17.974240000000002,26.22363,45.72937,64.96057,86.54333,17.16467,28.28198,41.26746,57.4917,75.75989
49.09229,80.36963,126.4893,177.5979,226.0791,43.59485,75.9552,120.9431,176.4502,231.7712,45.93701,83.33618,128.1772,182.0168,240.5151,47.5048,81.3728,124.0635,182.863,237.7097,43.84473,77.79004,120.4136,173.343,223.6089,35.41077,69.74658,115.3258,171.0431,223.5585,34.05591,67.16052,102.693,148.0261,193.97,42.42896,66.84351,98.07642,130.9923,168.8823,28.24463,54.36182,83.99316,125.1091,159.9292,30.7356,54.41089,88.34216,131.4418,168.8524,21.09668,41.38403,65.8656,99.73657,131.47,26.27759,47.44189,73.58594,105.5043,136.9797,19.02905,30.11707,46.30676,66.39001,83.89929,20.79309,28.44092,39.49451,57.44836,74.80164
44.74829,80.87964,128.6667,177.3528,226.9763,42.14502,75.05664,122.3119,174.8253,231.5585,46.68311,79.42822,130.7249,181.6295,237.7231,47.60583,78.09912,127.7415,180.1067,235.2148,41.91626,76.77661,120.3579,169.8843,221.929,39.90918,70.98254,119.6068,172.8069,229.8542,32.25403,62.7063,103.0697,147.27440000000001,194.2871,38.6084,64.84009,98.29468,131.5429,166.3882,30.50195,53.04907,86.82617,122.9666,163.5769,31.00256,52.26038,90.76868,129.1659,170.2458,19.22681,39.42371,66.35608,98.67236,133.6667,24.70703,45.86035,72.09705,103.1244,136.8242,16.569210000000002,28.86951,45.02283,64.18372,83.216309999999993,18.87488,27.5426,41.28577,55.35559,74.81665
