ka1_0,ka2_0,kd1_0,kd2_0,ka1,ka2,kd1,kd2,SSE
100,1e-6,1e-4,1e-6,100,1e-6,1e-4,1e-6,2e64
100,1e-6,1e-4,1e-5,100,1e-6,1e-4,1e-5,2e64
100,1e-6,1e-4,1e-4,100,1e-6,1e-4,1e-4,2e64
100,1e-6,0.001,1e-6,1694.324143711392,3.8340358086645604e-5,0.0025619635901386996,2.532270501377528e-4,23006.810417936274
100,1e-6,0.001,1e-5,1694.323268396432,3.834041648932216e-5,0.00256197256670846,2.532271297486874e-4,23006.810418255533
100,1e-6,0.001,1e-4,1694.324586815595,3.834033021101046e-5,0.0025619594455698062,2.532269914936296e-4,23006.810417811434
100,1e-6,0.01,1e-6,27081.448176431702,0.0019464474847413493,1.25017627540417e-4,0.021679141788352164,103055.58236581634
100,1e-6,0.01,1e-5,62380.01401856089,0.001597787634173931,8.599125428193361e-5,0.01243897831326986,152060.58392525578
100,1e-6,0.01,1e-4,2183.2882741842527,0.007178601100600326,0.01022261907267523,0.006810676547915485,27815.68611179579
100,1e-5,1e-4,1e-6,1694.326429524608,3.834034551061949e-5,0.002561954090387327,2.532269797377264e-4,23006.810417691155
100,1e-5,1e-4,1e-5,100,1e-5,1e-4,1e-5,2e64
100,1e-5,1e-4,1e-4,100,1e-5,1e-4,1e-4,2e64
100,1e-5,0.001,1e-6,1694.3296122234465,3.8340167501202235e-5,0.002561925447251454,2.5322668003194103e-4,23006.810417472945
100,1e-5,0.001,1e-5,1694.3283238148317,3.834014992728938e-5,0.0025619289226868416,2.53226650849991e-4,23006.810417450888
100,1e-5,0.001,1e-4,1694.3280982228678,3.8340162234677815e-5,0.002561930720150852,2.5322668328060826e-4,23006.810417445526
100,1e-5,0.01,1e-6,1694.330156598613,3.834005256564453e-5,0.0025619130681952948,2.5322648084475323e-4,23006.810417637444
100,1e-5,0.01,1e-5,1694.329058579435,3.8340108486416555e-5,0.0025619223475418923,2.532265811477137e-4,23006.81041749726
100,1e-5,0.01,1e-4,1694.3274359305915,3.834019218429014e-5,0.0025619363775335777,2.53226712757678e-4,23006.810417450943
100,1e-4,1e-4,1e-6,0,0,0.10866516841337207,0.14739577280172617,664876.2546832677
100,1e-4,1e-4,1e-5,0,0,0.08624657957153345,0.13133626813207724,664876.2642682327
100,1e-4,1e-4,1e-4,1465.1290879676621,2.9254825845617116e-5,0.0025551035857486605,2.379645979358262e-4,23222.49535331137
100,1e-4,0.001,1e-6,2125.6453705422095,0.02876176441159209,0.021593088220924695,0.013179673314747887,27664.097000482325
100,1e-4,0.001,1e-5,2122.4915046283777,0.031239914634372794,0.022427204570020367,0.01371974683330746,27646.283203147686
100,1e-4,0.001,1e-4,100,1e-4,0.001,1e-4,2e64
100,1e-4,0.01,1e-6,100,1e-4,0.01,1e-6,2e64
100,1e-4,0.01,1e-5,100,1e-4,0.01,1e-5,2e64
100,1e-4,0.01,1e-4,100,1e-4,0.01,1e-4,2e64
1000,1e-6,1e-4,1e-6,1694.3297694253026,3.8340016918983144e-5,0.0025619110943585727,2.532264253120014e-4,23006.81041768021
1000,1e-6,1e-4,1e-5,1694.3317215895227,3.833989226797783e-5,0.0025618924838102,2.5322618600160643e-4,23006.81041827325
1000,1e-6,1e-4,1e-4,1694.3311897784897,3.8339931404718434e-5,0.0025618981101423097,2.5322625387404354e-4,23006.810418056924
1000,1e-6,0.001,1e-6,1694.33988836749,3.834049346033855e-5,0.002561913737216792,2.5322730156059786e-4,23006.810417922563
1000,1e-6,0.001,1e-5,1694.3365843353185,3.8339579532040426e-5,0.0025618452000933105,2.532256493689503e-4,23006.810421355836
1000,1e-6,0.001,1e-4,1694.3383119623254,3.834021166423702e-5,0.002561899624722642,2.5322638341047015e-4,23006.81041818371
1000,1e-6,0.01,1e-6,1694.3292344000076,3.834005991734256e-5,0.0025619172137396496,2.532264982262588e-4,23006.81041756496
1000,1e-6,0.01,1e-5,1694.3388457211458,3.8340614939093565e-5,0.002561928761063359,2.532275236889204e-4,23006.810417870354
1000,1e-6,0.01,1e-4,1694.329655194688,3.834002786556292e-5,0.002561913185415643,2.532264002103352e-4,23006.810417644276
1000,1e-5,1e-4,1e-6,1694.3303421249702,3.8340032480175595e-5,0.0025619105813688998,2.53226419947823e-4,23006.810417692523
1000,1e-5,1e-4,1e-5,1694.3267970546408,3.8340176665295805e-5,0.002561936604508765,2.5322674703323345e-4,23006.810417452125
1000,1e-5,1e-4,1e-4,1694.3389889325094,3.8340009984994035e-5,0.0025618753860867896,2.532263105338617e-4,23006.810419112775
1000,1e-5,0.001,1e-6,1694.3291396851866,3.834017920551834e-5,0.002561928868824405,2.5322667111796914e-4,23006.810417456185
1000,1e-5,0.001,1e-5,1694.3285421341627,3.834023236389461e-5,0.002561935451000091,2.5322679708030893e-4,23006.810417456116
