V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
100,1e-6,1e-4,1e-6,338.3572,60,60,60,60,60,4947.5348284902875,5.713096703836785e-5,1.0333045578305996e-4,0.00314939523638421,405.54471350571436,60,60,60,60,60,627356.6294381832
100,1e-6,1e-4,1e-5,338.3572,60,60,60,60,60,5343.137622485527,6.390626192935745e-4,1.0588485711247987e-4,0.04086169121113093,394.2791940027552,60,60,60,60,60,660823.4053531259
100,1e-6,1e-4,1e-4,338.3572,60,60,60,60,60,5387.797931830511,0.001555446632942911,1.0547192006450071e-4,0.10114918806682477,392.3634873125208,60,60,60,60,60,663297.8176550458
100,1e-6,0.001,1e-6,338.3572,60,60,60,60,60,554.5579546235223,4.991935906859859e-5,6.2409055067248104e-6,0,1386.0944863281925,60,60,60,60,60,15235622.911146196
100,1e-6,0.001,1e-5,338.3572,60,60,60,60,60,553.7854772111187,5.01299637788688e-5,5.701946134444137e-6,0,1388.8707654222624,60,60,60,60,60,15262243.451988572
100,1e-6,0.001,1e-4,338.3572,60,60,60,60,60,548.7733000272908,5.325956720320835e-5,2.840357708330527e-6,0,1409.5665691864754,60,60,60,60,60,15461211.409936028
100,1e-6,0.01,1e-6,338.3572,60,60,60,60,60,558404.5087257521,2.8916612611382553e-5,6.151420157194384,1.7221964092560678e-5,880.9412240320298,60,60,60,60,60,214686.47193280945
100,1e-6,0.01,1e-5,338.3572,60,60,60,60,60,94134.92317431828,2.8946768554403658e-5,1.014448670710003,1.7311622785937652e-5,878.1170546402686,60,60,60,60,60,219806.54543856546
100,1e-6,0.01,1e-4,338.3572,60,60,60,60,60,100,1e-6,0.01,1e-4,338.3572,60,60,60,60,60,2e64
100,1e-5,1e-4,1e-6,338.3572,60,60,60,60,60,100,1e-5,1e-4,1e-6,338.3572,60,60,60,60,60,2e64
100,1e-5,1e-4,1e-5,338.3572,60,60,60,60,60,100,1e-5,1e-4,1e-5,338.3572,60,60,60,60,60,2e64
100,1e-5,1e-4,1e-4,338.3572,60,60,60,60,60,100,1e-5,1e-4,1e-4,338.3572,60,60,60,60,60,2e64
100,1e-5,0.001,1e-6,338.3572,60,60,60,60,60,460041.528275038,2.894855637271685e-5,5.067570672505571,1.718892892465163e-5,880.9056884753355,60,60,60,60,60,214929.78207109065
100,1e-5,0.001,1e-5,338.3572,60,60,60,60,60,267002.66361323826,2.8941521559142398e-5,2.928679060297112,1.7212575543105695e-5,880.2628038234402,60,60,60,60,60,215831.09566601182
100,1e-5,0.001,1e-4,338.3572,60,60,60,60,60,106735.94420705098,2.890070841457854e-5,1.1538683508946201,1.7223944356880924e-5,878.7974838706724,60,60,60,60,60,219091.17436375728
100,1e-5,0.01,1e-6,338.3572,60,60,60,60,60,482460.6722332341,2.8930377796448387e-5,5.313650121556443,1.7145119644320153e-5,880.7507009823487,60,60,60,60,60,214850.94916338008
100,1e-5,0.01,1e-5,338.3572,60,60,60,60,60,104026.62962905368,2.886114106523156e-5,1.1209393262727052,1.722676045812396e-5,878.4870854082594,60,60,60,60,60,219229.26883777537
100,1e-5,0.01,1e-4,338.3572,60,60,60,60,60,163192.2128452401,2.9097252687551116e-5,1.7860129448623425,1.739300263245946e-5,879.1563015352249,60,60,60,60,60,217227.41189211592
100,1e-4,1e-4,1e-6,338.3572,60,60,60,60,60,100,1e-4,1e-4,1e-6,338.3572,60,60,60,60,60,2e64
100,1e-4,1e-4,1e-5,338.3572,60,60,60,60,60,100,1e-4,1e-4,1e-5,338.3572,60,60,60,60,60,2e64
100,1e-4,1e-4,1e-4,338.3572,60,60,60,60,60,100,1e-4,1e-4,1e-4,338.3572,60,60,60,60,60,2e64
100,1e-4,0.001,1e-6,338.3572,60,60,60,60,60,2532.4626783644367,0.223705023813471,0.053125821729762504,0.007200091569938056,646.7322381586021,60,60,60,60,60,1453185.8511975743
100,1e-4,0.001,1e-5,338.3572,60,60,60,60,60,100,1e-4,0.001,1e-5,338.3572,60,60,60,60,60,2e64
100,1e-4,0.001,1e-4,338.3572,60,60,60,60,60,100,1e-4,0.001,1e-4,338.3572,60,60,60,60,60,2e64
100,1e-4,0.01,1e-6,338.3572,60,60,60,60,60,100,1e-4,0.01,1e-6,338.3572,60,60,60,60,60,2e64
100,1e-4,0.01,1e-5,338.3572,60,60,60,60,60,100,1e-4,0.01,1e-5,338.3572,60,60,60,60,60,2e64
100,1e-4,0.01,1e-4,338.3572,60,60,60,60,60,81388.41916088638,2.8958608569413307e-5,0.8734145823911176,1.736231069027923e-5,877.5529564088057,60,60,60,60,60,220775.27142671804
1000,1e-6,1e-4,1e-6,338.3572,60,60,60,60,60,4947.1049187361,5.713028232367666e-5,1.0334263625868269e-4,0.003148280725265093,405.569955494133,60,60,60,60,60,627356.616118588
1000,1e-6,1e-4,1e-5,338.3572,60,60,60,60,60,4947.088983783702,5.711348567306276e-5,1.0333852502000057e-4,0.003147417686673845,405.5661759740199,60,60,60,60,60,627356.6184762057
