V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29
100,1e-6,1e-4,1e-6,259.196,259.196,259.196,259.196,259.196,68.2037474680692,14.624695591628551,5.471568563953042,72.2436760738492,32.43846128694713,100,1e-6,1e-4,1e-6,259.196,259.196,259.196,259.196,259.196,68.2037474680692,14.624695591628551,5.471568563953042,72.2436760738492,32.43846128694713,2e64
100,1e-6,1e-4,1e-5,259.196,259.196,259.196,259.196,259.196,105.67882161587477,110.6769541092217,72.36569772474468,61.711869640275836,45.5576628819108,100,1e-6,1e-4,1e-5,259.196,259.196,259.196,259.196,259.196,105.67882161587477,110.6769541092217,72.36569772474468,61.711869640275836,45.5576628819108,2e64
100,1e-6,1e-4,1e-4,259.196,259.196,259.196,259.196,259.196,20.10109506547451,1.6865297220647335,116.5974057186395,58.803625451400876,113.75646779313684,100,1e-6,1e-4,1e-4,259.196,259.196,259.196,259.196,259.196,20.10109506547451,1.6865297220647335,116.5974057186395,58.803625451400876,113.75646779313684,2e64
100,1e-6,0.001,1e-6,259.196,259.196,259.196,259.196,259.196,4.732186663895845,80.42530758306384,10.061573646962643,55.38059704005718,102.0037848316133,100,1e-6,0.001,1e-6,259.196,259.196,259.196,259.196,259.196,4.732186663895845,80.42530758306384,10.061573646962643,55.38059704005718,102.0037848316133,2e64
100,1e-6,0.001,1e-5,259.196,259.196,259.196,259.196,259.196,84.83242515474558,83.86554038152099,27.211431730538607,52.35875006765127,10.833938168361783,100,1e-6,0.001,1e-5,259.196,259.196,259.196,259.196,259.196,84.83242515474558,83.86554038152099,27.211431730538607,52.35875006765127,10.833938168361783,2e64
100,1e-6,0.001,1e-4,259.196,259.196,259.196,259.196,259.196,45.65152555704117,24.072703700512648,55.20798923447728,11.187269445508718,47.146875048056245,530.9693792846953,6.340130703586394e-7,1.0582073995066915e-4,0,1517.5919297664518,1183.024065113444,848.4709836447541,583.6027434433566,432.56789186116174,452.82136957870586,452.6997399680512,482.5785826965785,538.609428071863,562.9534907026714,56682.55524788393
100,1e-6,0.01,1e-6,259.196,259.196,259.196,259.196,259.196,119.6992900595069,99.11254115402699,41.10160876996815,85.2410724107176,99.15280876681209,1752.102347893955,8.534408156883802e-5,0.0024638882247092243,2.2585868878396693e-5,562.2286807900535,503.0775246050431,472.6853039443913,479.46767582303517,520.799557614053,395.4245213535267,371.4726624472357,322.0400167067326,239.19923879208096,139.1148596957212,23765.01678090232
100,1e-6,0.01,1e-5,259.196,259.196,259.196,259.196,259.196,7.558508841320872,60.411780048161745,114.93823187425733,115.55741569027305,96.89385565929115,1752.1103829703359,8.53438980290087e-5,0.002463805064313792,2.258551228544866e-5,562.2246828400861,503.0743741704226,472.6829293021667,479.4658662285725,520.7980884743012,395.4254923584341,371.4732962775629,322.04014347531086,239.19892130417878,139.11437405634578,23765.016767811692
100,1e-6,0.01,1e-4,259.196,259.196,259.196,259.196,259.196,76.13069230690598,33.640072233974934,26.814029859378934,4.891160493716598,55.08908310905099,1752.1093576932085,8.534374366449313e-5,0.002463795855554582,2.2585462346880238e-5,562.2247351538193,503.07440089422306,472.68291692248835,479.4658252458359,520.7980250708589,395.42567191528013,371.47346345654415,322.04031527327874,239.19906714180695,139.11446809170383,23765.016767061177
100,1e-5,1e-4,1e-6,259.196,259.196,259.196,259.196,259.196,5.4891684371978045,81.29382032901049,37.54943476058543,76.83195311576128,24.383564572781324,100,1e-5,1e-4,1e-6,259.196,259.196,259.196,259.196,259.196,5.4891684371978045,81.29382032901049,37.54943476058543,76.83195311576128,24.383564572781324,2e64
100,1e-5,1e-4,1e-5,259.196,259.196,259.196,259.196,259.196,116.25941410660744,14.61955787613988,105.06977803073823,11.684509729966521,86.49480239488184,100,1e-5,1e-4,1e-5,259.196,259.196,259.196,259.196,259.196,116.25941410660744,14.61955787613988,105.06977803073823,11.684509729966521,86.49480239488184,2e64
100,1e-5,1e-4,1e-4,259.196,259.196,259.196,259.196,259.196,0.44250816106796265,4.462268454954028,82.98684764653444,80.31001668423414,8.521673837676644,100,1e-5,1e-4,1e-4,259.196,259.196,259.196,259.196,259.196,0.44250816106796265,4.462268454954028,82.98684764653444,80.31001668423414,8.521673837676644,2e64
100,1e-5,0.001,1e-6,259.196,259.196,259.196,259.196,259.196,86.9804057199508,85.18099894747138,56.416781237348914,59.201994091272354,59.9927609693259,341.4935697013156,0,8.821210588920797e-5,0.010024120263187596,2476.0812099294963,1802.7000726644721,1186.7983813706578,747.4491349065653,501.8799311587087,415.64781483404704,453.49875375406947,533.48487304374,641.8181394685982,726.0015796663487,63768.64478928555
100,1e-5,0.001,1e-5,259.196,259.196,259.196,259.196,259.196,112.47773909009993,22.084782980382442,2.753267688676715,46.036520674824715,5.375452386215329,432.8621057716078,0,8.817156487337684e-5,0.022927781150423515,1999.7219983183527,1442.1589769073864,962.6091214963353,626.5923327124765,443.33399083647856,401.66659586943183,448.9606610264661,524.4211915244842,616.5901429072603,670.6670703107109,63154.37826036669
100,1e-5,0.001,1e-4,259.196,259.196,259.196,259.196,259.196,4.8252348974347115,76.06894193217158,90.53214224986732,68.17329609766603,11.915482012555003,338.79699707171335,1.276985691011286e-6,1.3168495915155462e-4,0,2051.725646525302,1594.6961913099783,1152.1136974765345,791.7959914025662,571.6644681594846,549.5771301554122,553.611144855119,579.2139398902597,627.9126033295654,638.6773956275549,52516.549300256826
100,1e-5,0.01,1e-6,259.196,259.196,259.196,259.196,259.196,12.866211701184511,103.59532247297466,112.14724956080317,87.27023653686047,89.53736644238234,309.6625704951805,9.022291654219697e-7,1.0535778463776963e-4,0,1519.9099709181523,1086.587966403861,893.3942586133546,715.091752117812,541.6498398525164,963.0723318587488,1099.683832370646,964.7957031909682,824.3773283433075,770.2283501285079,88425.28711858888
100,1e-5,0.01,1e-5,259.196,259.196,259.196,259.196,259.196,68.38507130742073,93.88410556130111,46.78217137232423,104.81155914254487,33.4573111217469,326.4005039024404,1.057741191394488e-6,1.111988333863969e-4,0,1349.2819697925472,1128.3210138934987,984.0537191554466,708.4731315402989,557.2582737902588,1058.3834735219534,974.5045488127203,776.1615035379846,785.0789690721274,681.791512345272,77196.73054376675
100,1e-5,0.01,1e-4,259.196,259.196,259.196,259.196,259.196,37.6931525208056,108.03190254606307,73.648960897699,96.56202809885144,46.23682150617242,355.9210639227231,7.470016469336786e-7,1.0985089752138551e-4,0,2171.4805474414084,1593.6338322650101,1113.4203393925789,735.1175102684493,512.107763684102,468.11591871097596,514.2281992068455,562.744491296586,646.9247019280436,709.952037180797,55864.85479793134
100,1e-4,1e-4,1e-6,259.196,259.196,259.196,259.196,259.196,27.059732051566243,87.16260918416083,14.661636874079704,82.01004602015018,20.498035987839103,100,1e-4,1e-4,1e-6,259.196,259.196,259.196,259.196,259.196,27.059732051566243,87.16260918416083,14.661636874079704,82.01004602015018,20.498035987839103,2e64
100,1e-4,1e-4,1e-5,259.196,259.196,259.196,259.196,259.196,74.0440099965781,15.70708061568439,78.07122529484332,5.566424494609237,20.671589858829975,332.8909975860167,2.1962160246474164e-6,1.7097134308395612e-4,0,1664.0449528294298,1455.0359374295012,1087.6734908882258,826.2319768042083,621.9539526496575,767.0761173227409,655.6379033659749,662.3190644068135,619.320126969007,591.0569940717705,54303.50200665137
100,1e-4,1e-4,1e-4,259.196,259.196,259.196,259.196,259.196,61.008926751092076,115.17816320993006,108.48605331033468,6.093628238886595,77.64164093881845,1752.0590363571757,8.534084948379696e-5,0.0024638847700734026,2.2585574981795555e-5,562.2399025532604,503.0858149048463,472.69094801514024,479.47129703809225,520.8018116749445,395.4261249209111,371.4752370288126,322.0436545022212,239.203282899853,139.11814400767875,23765.016787865057
100,1e-4,0.001,1e-6,259.196,259.196,259.196,259.196,259.196,27.771684229373932,20.77798786573112,40.79086669720709,45.44708328321576,7.66533418558538,100,1e-4,0.001,1e-6,259.196,259.196,259.196,259.196,259.196,27.771684229373932,20.77798786573112,40.79086669720709,45.44708328321576,7.66533418558538,2e64
100,1e-4,0.001,1e-5,259.196,259.196,259.196,259.196,259.196,55.74704644270241,26.436821725219488,58.67252712137997,8.149892371147871,34.448377350345254,100,1e-4,0.001,1e-5,259.196,259.196,259.196,259.196,259.196,55.74704644270241,26.436821725219488,58.67252712137997,8.149892371147871,34.448377350345254,2e64
100,1e-4,0.001,1e-4,259.196,259.196,259.196,259.196,259.196,17.511718198657036,36.73615213483572,61.34308688342571,32.94962712563574,1.2356342654675245,100,1e-4,0.001,1e-4,259.196,259.196,259.196,259.196,259.196,17.511718198657036,36.73615213483572,61.34308688342571,32.94962712563574,1.2356342654675245,2e64
100,1e-4,0.01,1e-6,259.196,259.196,259.196,259.196,259.196,78.4659140277654,74.1382822394371,63.37312800809741,62.1051659155637,87.4398846924305,100,1e-4,0.01,1e-6,259.196,259.196,259.196,259.196,259.196,78.4659140277654,74.1382822394371,63.37312800809741,62.1051659155637,87.4398846924305,2e64
100,1e-4,0.01,1e-5,259.196,259.196,259.196,259.196,259.196,100.4057838767767,83.18551428616047,78.30672486685216,17.728095715865493,98.9609388448298,100,1e-4,0.01,1e-5,259.196,259.196,259.196,259.196,259.196,100.4057838767767,83.18551428616047,78.30672486685216,17.728095715865493,98.9609388448298,2e64
100,1e-4,0.01,1e-4,259.196,259.196,259.196,259.196,259.196,53.7068669591099,12.994596809148788,48.1134107708931,35.54123860783875,104.20927600935102,100,1e-4,0.01,1e-4,259.196,259.196,259.196,259.196,259.196,53.7068669591099,12.994596809148788,48.1134107708931,35.54123860783875,104.20927600935102,2e64
1000,1e-6,1e-4,1e-6,259.196,259.196,259.196,259.196,259.196,96.69589346274734,102.2405010368675,34.79084327816963,45.182626666501164,3.4372273832559586,1000,1e-6,1e-4,1e-6,259.196,259.196,259.196,259.196,259.196,96.69589346274734,102.2405010368675,34.79084327816963,45.182626666501164,3.4372273832559586,2e64
1000,1e-6,1e-4,1e-5,259.196,259.196,259.196,259.196,259.196,56.03132779709995,109.1928415093571,83.83143377490342,18.244102047756314,19.648920502513647,1000,1e-6,1e-4,1e-5,259.196,259.196,259.196,259.196,259.196,56.03132779709995,109.1928415093571,83.83143377490342,18.244102047756314,19.648920502513647,2e64
1000,1e-6,1e-4,1e-4,259.196,259.196,259.196,259.196,259.196,82.980449013412,20.735654197633266,107.18682596459985,79.53740478493273,10.440824702382088,1688.6607684835626,3.059867107735992e-6,1.3193870946525248e-4,0,518.9669324041365,447.0324604107544,376.8423197770007,332.36178132361664,319.28198695511674,438.5483917159244,406.5143094695437,383.4852443045075,337.10329256747985,255.19697613363815,56665.51902247189
1000,1e-6,0.001,1e-6,259.196,259.196,259.196,259.196,259.196,39.58693038672209,95.07092610932887,2.0295728277415037,63.46316836774349,9.512595115229487,2407.6217937966744,8.566349228081102e-6,1.2701532323940962e-4,0,383.58834751650033,350.02881172776176,320.66945209536,308.3937713460257,313.89308413124326,424.08587623887723,376.7012200341712,330.08293329741855,262.0929249754224,180.0786150105532,37836.79349184746
1000,1e-6,0.001,1e-5,259.196,259.196,259.196,259.196,259.196,38.97604719735682,90.70440927520394,27.76781835593283,68.7336574215442,38.47271771170199,2393.8955597873537,1.1876675152915123e-5,1.472824149342128e-4,0,395.59366014882187,358.3847383195933,333.53921616305,324.3507197699553,330.9466004781533,405.6681454288845,370.21192183524306,317.79809730818306,246.93309712842824,165.47784652074944,36083.147623715035
1000,1e-6,0.001,1e-4,259.196,259.196,259.196,259.196,259.196,93.09298041276634,90.25973629206419,17.021087436005473,4.388460600748658,7.323369272053242,3876.177934431442,6.155203908332991e-6,1.0265623421086083e-4,0,282.3342752399396,258.51361204543133,248.29459124189148,253.9368928378357,274.84282523183384,341.04363133613776,315.5645102542333,268.8518323135393,201.18707324384735,125.35326651235442,38557.18125302996
1000,1e-6,0.01,1e-6,259.196,259.196,259.196,259.196,259.196,29.50384366326034,75.09443138726056,20.41108801960945,94.51022196561098,11.88718649558723,1752.1165969285955,8.534388235875892e-5,0.0024637577734652268,2.2585309626104955e-5,562.22197587855,503.07227534002135,472.6813574103748,479.4647023666809,520.7971762064639,395.426001745961,371.47355528611985,322.04010591685363,239.19859284293648,139.113955862027,23765.016765411776
1000,1e-6,0.01,1e-5,259.196,259.196,259.196,259.196,259.196,102.54278146661818,50.637473445385695,59.927154667675495,51.14505361765623,70.35041760653257,2931.1880145136993,7.120132582746716e-5,5.253388075139653e-4,1.977698530606371e-5,353.79817634494304,344.94420500607157,357.0748512180298,390.44967327868426,438.5490040950046,383.8921583503522,332.6048478977126,256.883219349882,166.21246375222424,25272.951745965645,144796.67682308806
1000,1e-6,0.01,1e-4,259.196,259.196,259.196,259.196,259.196,32.52245410345495,84.11640451289713,76.06864004395902,49.92401730269194,84.43312182091177,1752.1144568034906,8.534371604934812e-5,0.002463757085246501,2.2585290201954638e-5,562.2225245850157,503.07267443808445,472.6816281429928,479.4648737386462,520.7972806997037,395.4260791971101,371.4736896625084,322.0402893926792,239.19879538049267,139.1141178910412,23765.016765397973
1000,1e-5,1e-4,1e-6,259.196,259.196,259.196,259.196,259.196,43.05491527542472,48.54921318590641,65.04346210509539,29.61236273869872,23.826446374878287,1515.8250038623412,3.7618470804270997e-6,1.3917871526639595e-4,0,612.2855996822807,501.01822508928353,409.9828468869827,354.9868742122612,334.8921502893796,384.043340222044,388.75296837498377,384.8198023312796,346.33509355335116,268.87343778116934,52987.983854224396
1000,1e-5,1e-4,1e-5,259.196,259.196,259.196,259.196,259.196,2.7142296452075243,17.718004770576954,64.3457273952663,106.98645615018904,45.07830594666302,2698.244345708652,3.0049110755275413e-6,1.1233641135433708e-4,0,359.79094812329754,317.86316977353727,287.10007240400347,274.47685225038873,283.06177251425635,396.7308995918941,367.2588544793871,324.24364438314745,261.5985118977267,180.8382347233629,47711.33726333396
1000,1e-5,1e-4,1e-4,259.196,259.196,259.196,259.196,259.196,17.93805585242808,89.15743871591985,51.025226935744286,46.59387739375234,96.36130043305457,3191.7006708378367,4.213737815101141e-6,1.1243001804885545e-4,0,317.1764493596977,289.4462891191469,269.3363974843294,266.45966476315925,280.67023638960535,378.4907866578243,338.40384176883623,292.25573961604425,223.6856692062928,147.43319102280182,44762.02204495933
1000,1e-5,0.001,1e-6,259.196,259.196,259.196,259.196,259.196,15.823473036289215,86.73093840479851,94.82546363957226,29.137362018227577,52.314363503828645,1752.108850823549,8.534385007954148e-5,0.0024638107077961193,2.2585534555212054e-5,562.2252181058685,503.0747780486665,472.68321475257056,479.46606996332275,520.7982379538507,395.4254486187052,371.473306548358,322.04022368861104,239.19903572225442,139.1144843335682,23765.01676833705
1000,1e-5,0.001,1e-5,259.196,259.196,259.196,259.196,259.196,29.29377076216042,108.85654700919986,23.646035129204392,115.49120650626719,73.54384328238666,1000,1e-5,0.001,1e-5,259.196,259.196,259.196,259.196,259.196,29.29377076216042,108.85654700919986,23.646035129204392,115.49120650626719,73.54384328238666,2e64
1000,1e-5,0.001,1e-4,259.196,259.196,259.196,259.196,259.196,77.6778095215559,101.89455597661436,104.53566025011241,27.948750061914325,9.708797978237271,1000,1e-5,0.001,1e-4,259.196,259.196,259.196,259.196,259.196,77.6778095215559,101.89455597661436,104.53566025011241,27.948750061914325,9.708797978237271,2e64
1000,1e-5,0.01,1e-6,259.196,259.196,259.196,259.196,259.196,74.37943272292614,72.30672237463295,109.01537295430899,18.686858927831054,63.06198044680059,1752.106732921364,8.534402567773223e-5,0.0024638473149269174,2.2585697726893756e-5,562.2266138260429,503.0758945955431,472.6840758996702,479.46674841464113,520.7988124003296,395.4249648734019,371.472942743898,322.04004950595123,239.19904342770445,139.11458628293286,23765.01677305395
1000,1e-5,0.01,1e-5,259.196,259.196,259.196,259.196,259.196,14.788054917007685,24.512551221996546,84.11079439334571,0.3009037021547556,96.82309557683766,1000,1e-5,0.01,1e-5,259.196,259.196,259.196,259.196,259.196,14.788054917007685,24.512551221996546,84.11079439334571,0.3009037021547556,96.82309557683766,2e64
1000,1e-5,0.01,1e-4,259.196,259.196,259.196,259.196,259.196,69.26619736477733,109.8642919678241,51.67131948284805,19.891147976741195,99.87665676511824,1752.119734595917,8.53437133502922e-5,0.0024637095461493563,2.2585110644668295e-5,562.2200695785108,503.0707360740986,472.6801650202507,479.4637698360806,520.7963932919796,395.42658188726733,371.4740028540684,322.0403184668104,239.19855953405403,139.1138057170271,23765.016766697292
1000,1e-4,1e-4,1e-6,259.196,259.196,259.196,259.196,259.196,104.09461663104594,21.778792440891266,89.77142298594117,43.590158466249704,23.681242475286126,1721.6749988389868,3.053076339043656e-6,1.4260025658167715e-4,0,520.2687497844096,442.82870083312986,374.9298923038022,334.189209199194,322.0750395248096,425.2167888151395,404.9106722317799,381.2606491410023,327.255388296599,243.75255043504615,69487.4768693725
1000,1e-4,1e-4,1e-5,259.196,259.196,259.196,259.196,259.196,73.9686281606555,44.199880231171846,57.857992239296436,99.92216781713068,88.19577667862177,1668.4611059560848,3.946266154558759e-6,1.4741082086413936e-4,0,551.933641856441,460.26465112934994,387.1261082350813,344.0101436172044,330.6426929436576,398.15286615718503,395.1188824908115,378.150832775938,327.85226037233355,244.47319653818414,62021.88194780853
1000,1e-4,1e-4,1e-4,259.196,259.196,259.196,259.196,259.196,22.836867906153202,64.33661439456046,77.43362470529974,84.24841015599668,43.72889142483473,2122.8338165637333,1.3510344677166653e-5,1.8107207099697585e-4,0,477.9329396258345,401.20093242029105,360.96771300709946,349.2944232940158,354.26289559309873,341.7111822863105,359.2241037420202,331.6210132372172,258.1259841185062,171.28512763549114,38966.00810260636
1000,1e-4,0.001,1e-6,259.196,259.196,259.196,259.196,259.196,11.096326215192676,9.642563257366419,39.300552075728774,58.324210653081536,37.616917323321104,1000,1e-4,0.001,1e-6,259.196,259.196,259.196,259.196,259.196,11.096326215192676,9.642563257366419,39.300552075728774,58.324210653081536,37.616917323321104,2e64
1000,1e-4,0.001,1e-5,259.196,259.196,259.196,259.196,259.196,43.01094671711326,61.47996517829597,100.15342279337347,103.9790351036936,87.02347699552774,1752.1101138022982,8.53438216515227e-5,0.0024637962370791223,2.2585476811536243e-5,562.2245669345978,503.0742597524007,472.68281594542395,479.4657612075328,520.7979867172323,395.4256050840794,371.4734129150565,322.040258979802,239.1990018889111,139.11441376685391,23765.016767075642
1000,1e-4,0.001,1e-4,259.196,259.196,259.196,259.196,259.196,104.06123930588365,97.71839297376573,51.48656107485294,65.01864359714091,36.63475044071674,1752.1123976582874,8.534388777448716e-5,0.002463787525768923,2.2585441602682358e-5,562.2237644735446,503.07365226153934,472.682388943964,479.4654551747809,520.7977615397999,395.42567243708334,371.47340211613255,322.04013614771975,239.198829714067,139.11424683748476,23765.01676649049
1000,1e-4,0.01,1e-6,259.196,259.196,259.196,259.196,259.196,64.11608478985727,61.926369834691286,12.355804089456797,13.236681148409843,29.622886888682842,1752.1214589296858,8.534371268516899e-5,0.002463700205088267,2.2585061960680962e-5,562.2194120702669,503.0702343408385,472.679810086398,479.4635078041986,520.7961949149718,395.4266654984347,371.4740229324604,322.0402381792395,239.19843790906285,139.11367468599656,23765.016767370857
1000,1e-4,0.01,1e-5,259.196,259.196,259.196,259.196,259.196,82.9424347076565,26.155479233711958,44.576794942840934,0.15501530840992928,74.46506322361529,1000,1e-4,0.01,1e-5,259.196,259.196,259.196,259.196,259.196,82.9424347076565,26.155479233711958,44.576794942840934,0.15501530840992928,74.46506322361529,2e64
1000,1e-4,0.01,1e-4,259.196,259.196,259.196,259.196,259.196,87.15694902464747,107.87510368041694,81.45319679751992,17.182533759623766,25.888374131172895,2871.287702268049,1.4079102602726674e-5,1.4195140513461815e-4,0,356.0943062050825,323.68537730649587,309.29465612850316,309.4520681905771,322.6578994312322,366.05398190380777,342.0115339773817,288.02120254421715,216.00501603566127,138.43523709855916,34730.17554526993
10000,1e-6,1e-4,1e-6,259.196,259.196,259.196,259.196,259.196,19.967477889731526,3.798997700214386,53.820438142865896,44.77250779978931,50.55326359346509,3845.0308875100804,6.7752402918550955e-6,1.1644481536080787e-4,0,275.02680782603807,260.8659349919874,254.30440955576177,260.5340912826006,280.8561291371132,372.32755410433657,321.7133023291785,263.1129392725775,192.39638145764056,119.01507464566004,41121.3944838637
10000,1e-6,1e-4,1e-5,259.196,259.196,259.196,259.196,259.196,41.74659915268421,100.55411294102669,22.57650858722627,39.351327046751976,48.83624950423837,3834.3272226279246,9.576955409354134e-6,1.2531757139310225e-4,0,277.6767037754162,267.3537373533029,263.50192215761973,270.4356024685608,290.7931753920486,368.7716180666468,312.25828032385795,251.06493651473605,183.88662215767866,112.51136148314173,39533.479788957506
10000,1e-6,1e-4,1e-4,259.196,259.196,259.196,259.196,259.196,5.274964766576886,39.444269109517336,96.92825554870069,44.948795568197966,15.449532838538289,5318.095717334684,6.5855312898111935e-6,1.0160810897680205e-4,0,228.92470993072456,218.3142984555091,220.8625145469156,237.5557546769716,266.0789584329074,302.8241929082945,272.5073036216151,221.32197274463425,151.85607918134926,86.74511535744172,40322.880174728154
10000,1e-6,0.001,1e-6,259.196,259.196,259.196,259.196,259.196,69.862170657143,91.36578666977584,48.927896870300174,18.516731187701225,98.9506499748677,10000,1e-6,0.001,1e-6,259.196,259.196,259.196,259.196,259.196,69.862170657143,91.36578666977584,48.927896870300174,18.516731187701225,98.9506499748677,2e64
